                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0894,                 12.338,                 1.9757,                0.61004,                0.06884,                0.04555,                0.01677,                 3.3081,                 2.8074,                 1.6626,              0.0033321,              0.0033321,              0.0033321
                      2,                 2.7117,                 2.7863,                 1.5924,                0.57315,                 0.1012,                0.03139,                0.01079,                 3.1622,                 2.5192,                  1.587,              0.0066434,              0.0066434,              0.0066434
                      3,                 2.7157,                 2.6216,                 1.5622,                0.56202,                0.09697,                0.02873,                0.01043,                 3.1848,                 2.4578,                 1.5718,              0.0099328,              0.0099328,              0.0099328
                      4,                 2.7007,                 2.5817,                 1.5608,                 0.5835,                0.09669,                0.05198,                   0.02,                 3.1627,                 2.3498,                 1.5314,               0.009901,               0.009901,               0.009901
                      5,                 2.6314,                 2.4449,                 1.5118,                0.60963,                0.10768,                 0.0765,                0.03472,                 3.0641,                 2.3184,                 1.4714,               0.009868,               0.009868,               0.009868
                      6,                 2.6043,                 2.3331,                 1.4897,                    0.6,                0.11117,                0.06223,                 0.0278,                 3.0612,                 2.2513,                 1.4642,               0.009835,               0.009835,               0.009835
                      7,                 2.5753,                 2.3043,                 1.4589,                0.59007,                0.11986,                0.06424,                0.02939,                 3.0416,                 2.2248,                 1.4398,               0.009802,               0.009802,               0.009802
                      8,                 2.5527,                 2.2381,                 1.4467,                 0.5958,                0.11675,                0.06456,                0.02899,                 3.0445,                 2.2433,                 1.4518,               0.009769,               0.009769,               0.009769
                      9,                 2.5249,                 2.1825,                  1.438,                0.60647,                0.11828,                0.05892,                0.02629,                 3.0251,                 2.1563,                 1.4214,               0.009736,               0.009736,               0.009736
                     10,                 2.4661,                 2.1445,                 1.4155,                0.59713,                0.11766,                0.05649,                0.02473,                 3.0381,                 2.1831,                 1.4243,               0.009703,               0.009703,               0.009703
                     11,                  2.505,                 2.1385,                 1.3987,                0.60327,                 0.1158,                 0.0609,                0.02679,                 2.9994,                 2.1936,                 1.4025,                0.00967,                0.00967,                0.00967
                     12,                 2.4506,                 2.0979,                 1.3998,                0.60177,                0.12155,                0.07553,                0.03529,                 2.9692,                 2.1511,                 1.3955,               0.009637,               0.009637,               0.009637
                     13,                 2.4707,                 2.0778,                 1.3625,                0.61034,                0.12036,                0.07506,                0.03492,                  2.961,                 2.1187,                 1.3904,               0.009604,               0.009604,               0.009604
                     14,                  2.473,                  2.044,                 1.3582,                0.62249,                0.11856,                0.07593,                0.03595,                 2.9829,                 2.1164,                 1.3921,               0.009571,               0.009571,               0.009571
